time,SyntheticPriceUSD
2016-01-01 00:00:00+00:00,175.61221110793448
2016-01-02 00:00:00+00:00,175.6418311079345
2016-01-03 00:00:00+00:00,175.6489040359345
2016-01-04 00:00:00+00:00,175.64184110793448
2016-01-05 00:00:00+00:00,175.6344411079345
2016-01-06 00:00:00+00:00,175.64184110793448
2016-01-07 00:00:00+00:00,175.6317885909345
2016-01-08 00:00:00+00:00,175.6768411079345
2016-01-09 00:00:00+00:00,175.6617511539345
2016-01-10 00:00:00+00:00,175.6918411079345
2016-01-11 00:00:00+00:00,175.76274784093448
2016-01-12 00:00:00+00:00,175.8692911079345
2016-01-13 00:00:00+00:00,175.8292711079345
2016-01-14 00:00:00+00:00,175.8577618039345
2016-01-15 00:00:00+00:00,175.9827321549345
2016-01-16 00:00:00+00:00,175.9036311079345
2016-01-17 00:00:00+00:00,176.0027779869345
2016-01-18 00:00:00+00:00,176.1580852899345
2016-01-19 00:00:00+00:00,176.04488770593449
2016-01-20 00:00:00+00:00,176.1484626379345
2016-01-21 00:00:00+00:00,176.18777110793448
2016-01-22 00:00:00+00:00,176.2118411079345
2016-01-23 00:00:00+00:00,176.7040916439345
2016-01-24 00:00:00+00:00,176.7932258929345
2016-01-25 00:00:00+00:00,177.2255626979345
2016-01-26 00:00:00+00:00,177.0724278119345
2016-01-27 00:00:00+00:00,177.09315092593448
2016-01-28 00:00:00+00:00,177.2382944269345
2016-01-29 00:00:00+00:00,177.17947655893448
2016-01-30 00:00:00+00:00,177.1325111079345
2016-01-31 00:00:00+00:00,176.9345128879345
2016-02-01 00:00:00+00:00,176.8592384749345
2016-02-02 00:00:00+00:00,177.1383711079345
2016-02-03 00:00:00+00:00,177.2218411079345
2016-02-04 00:00:00+00:00,177.2419111079345
2016-02-05 00:00:00+00:00,177.2563511079345
2016-02-06 00:00:00+00:00,177.2408611079345
2016-02-07 00:00:00+00:00,177.5899122089345
2016-02-08 00:00:00+00:00,177.8756133009345
2016-02-09 00:00:00+00:00,178.5853178729345
2016-02-10 00:00:00+00:00,179.0695239529345
2016-02-11 00:00:00+00:00,180.56378143093448
2016-02-12 00:00:00+00:00,180.1622449519345
2016-02-13 00:00:00+00:00,179.9106317319345
2016-02-14 00:00:00+00:00,179.8476850909345
2016-02-15 00:00:00+00:00,179.84452848393448
